valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2008-03-09 15:52:00+00:00,T,UNKN,BUR UUA /OV WHP/TM 1552/FL065/TP UNKN/TB MOD-SEV/RM NEG TB 055-050.ZLA CWSU,MOD-SEV,ZLA,6500,34.25933,-118.41343
2008-03-09 15:52:00+00:00,T,UNKN,BUR UUA /OV WHP/TM 1552/FL065/TP UNKN/TB MOD-SEV/RM NEG TB 055-050. ZLA CWSU,MOD-SEV,ZLA,6500,34.25933,-118.41343
2008-03-09 20:35:00+00:00,T,C172,WHP UUA /OV BUR360010 /TM 2035 /FL070 /TP C172 /TB SEV,SEV,ZLA,7000,34.36735016668017,-118.35867
2008-03-17 05:52:00+00:00,T,C421,EMT UUA /OV BUR135010 /TM 0552 /FL060 /TP C421 /TB MOD-SEV /RM MOD-SEV TBL BLW 060,MOD-SEV,ZLA,6000,34.08280932385115,-118.216166818964
2008-03-17 21:35:00+00:00,T,RV4,BUR UUA /OV BUR /TM 2135 /FL025 /TP RV4 /TB SEV /RM DURC,SEV,ZLA,2500,34.20067,-118.35867
2008-05-13 16:01:00+00:00,T,PC12,BUR UUA /OV BUR /TM 1601 /FL040 /TP PC12 /TB MOD-SEV,MOD-SEV,ZLA,4000,34.20067,-118.35867
2008-05-14 00:09:00+00:00,T,BE35,WHP UUA /OV BUR030010 /TM 0009 /FL105 /TP BE35 /TB SEV,SEV,ZLA,10500,34.34501925865205,-118.2579050343488
2008-06-18 17:55:00+00:00,T,SR22,BUR UUA /OV BUR /TM 1755 /FL020 /TP SR22 /TB MOD-SEV 030-020 /RM DURD RWY 8,MOD-SEV 030-020,ZLA,2000,34.20067,-118.35867
2008-06-20 21:53:00+00:00,T,C172,BUR UUA /OV BUR335001 /TM 2153 /FL025 /TP C172 /TB MOD-SEV,MOD-SEV,ZLA,2500,34.21577635330068,-118.36718702292558
2008-10-13 16:30:00+00:00,T,C56X,WHP UUA /OV BUR360005 /TM 1630 /FL080 /TP C56X /TB SEV,SEV,ZLA,8000,34.284010083340085,-118.35867
2008-10-13 19:28:00+00:00,T,C340,MWS UUA /OV BUR045010 /TM 1928 /FL065 /TP C340 /TB SEV /RM DURD,SEV,ZLA,6500,34.31853067614885,-118.216166818964
2008-12-13 20:38:00+00:00,T,C182,BUR UUA /OV BUR090003 /TM 2038 /FL075 /TP C182 /TB SEV,SEV,ZLA,7500,34.20067,-118.29821102060929
2008-12-14 01:39:00+00:00,T,C414,BUR UUA /OV BUR /TM 0139 /FL100 /TP C414 /TB SEV,SEV,ZLA,10000,34.20067,-118.35867
2009-01-09 17:15:00+00:00,T,C208,WHP UUA /OV BUR360010 /TM 1715 /FL075 /TP C208 /TB MOD-SEV,MOD-SEV,ZLA,7500,34.36735016668017,-118.35867
2009-01-11 15:17:00+00:00,T,E120,BUR UUA /OV BUR360005/TM 1517/FL070/TP E120/TB SEV/RM ZLA CWSU,SEV,ZLA,7000,34.284010083340085,-118.35867
2009-01-11 15:17:00+00:00,T,E120,WHP UUA /OV BUR360005 /TM 1517 /FL070 /TP E120 /TB SEV,SEV,ZLA,7000,34.284010083340085,-118.35867
2009-01-29 15:15:00+00:00,T,DH8D,WHP UUA /OV BUR360010 /TM 1515 /FL090 /TP DH8D /TB MOD-SEV,MOD-SEV,ZLA,9000,34.36735016668017,-118.35867
2009-01-29 15:15:00+00:00,T,E120,WHP UUA /OV BUR360010 /TM 1515 /FL090 /TP E120 /TB MOD-SEV,MOD-SEV,ZLA,9000,34.36735016668017,-118.35867
2009-03-22 18:30:00+00:00,T,LJ55,BUR UUA /OV PMD210020/TM 1830/FL145/TP LJ55/TB MOD-SEV 130-160/RM ZLACWSU,MOD-SEV 130-160,ZLA,14500,34.3406914826959,-118.2871156958706
2009-03-22 19:18:00+00:00,T,LR55,BUR UUA /OV PMD218020/TM 1918/FL135/TP LR55/TA M07/TB MOD-SEV130-140/IC MOD RIME 130-140/RM ZLA CWSU,MOD-SEV130-140,ZLA,13500,34.366698472486135,-118.33397379034014
2009-03-22 19:28:00+00:00,T,G4,BUR UUA /OV PMD218020/TM 1928/FL125/TP G4/TB SEV 120-130/RM ZLA CWSU,SEV 120-130,ZLA,12500,34.366698472486135,-118.33397379034014
2009-03-22 19:30:00+00:00,T,DH8A,WHP UUA /OV BUR360010 /TM 1930 /FL110 /TP DH8A /WV 330110KT /TB SEV,SEV,ZLA,11000,34.36735016668017,-118.35867
2009-03-26 13:16:00+00:00,T,C172,BUR UUA /OV WHP/TM 1316/FL015/TP C172/TB MOD-SEV/RM DURC. ZLA CWSU,MOD-SEV,ZLA,1500,34.25933,-118.41343
