valid,urgent,aircraft,report,icing,turbulence,atrcc,product_id,fl,lat,lon
2021-02-16 21:55:00+00:00,F,G4,VNY UA /OV VNY 340/16/TM 2155/FL6000/TP G4/SK CLR/WX 10/TB MODERATE TO SEVERE TURBULENCE,,MODERATE TO SEVERE TURBULENCE,ZLA,,60000,34.20972,-118.48917
2021-02-17 02:32:00+00:00,F,E145,KLAX UA /OV KSMO/TM 0232/FL8000/TP E145/TB MOD TURB,,MOD TURB,ZLA,,80000,34.021,-118.44708
2021-02-21 17:20:00+00:00,F,CL60,VNY UA /OV VNY 7 NW/TM 1720/FL7000/TP CL60/SK CLR/WX 10SM/TB MODERATE,,MODERATE,ZLA,,70000,34.20972,-118.48917
2021-02-25 18:25:00+00:00,F,SF50,VNY UA /OV 10 MILES WEST VNY VOR/TM 1825/FL7000/TP SF50/TB MODERATE,,MODERATE,ZLA,,70000,34.20972,-118.48917
2021-03-10 19:15:00+00:00,F,SR22,BUR UA /OV BUR 10 NORTH/TM 1915/FL9000/TP SR22/TA -9/IC LIGHT RIME,LIGHT RIME,,ZLA,,90000,34.20067,-118.35867
2021-03-10 19:24:00+00:00,F,E35L,BUR UA /OV BUR/TM 1924/FL5000/TP E35L/TA -9/IC LIGHT MIXED,LIGHT MIXED,,ZLA,,50000,34.20067,-118.35867
2021-03-10 19:30:00+00:00,F,EA50,VNY UA /OV VNY 20 WEST/TM 1930/FL7000/TP EA50/TA -6/TB MODERATE/IC LIGHT RIME,LIGHT RIME,MODERATE,ZLA,,70000,34.20972,-118.48917
2021-03-11 18:20:00+00:00,F,M20P,BUR UA /OV BUR/TM 1820/FL5000/TP M20P/TA -3/IC LIGHT RIME,LIGHT RIME,,ZLA,,50000,34.20067,-118.35867
2021-03-12 00:24:00+00:00,F,C206,ONT UA /OV EMT/TM 0024/FL6000/TP C206/TA -5/IC CLEAR,CLEAR,,ZLA,,60000,34.086,-118.035
2021-03-13 23:15:00+00:00,F,C172,BUR UA /OV BUR100010/TM 2315/FL6000/TP C172/TB SEVERE,,SEVERE,ZLA,,60000,34.171726292802774,-118.16020176118938
2021-03-13 23:30:00+00:00,F,GLAS,BUR UA /OV BUR360005/TM 2330/FL6000/TP GLAS/TB SEVERE/RM DURD TO 5000,,SEVERE,ZLA,,60000,34.284010083340085,-118.35867
2021-03-21 15:00:00+00:00,F,B737,VNY UA /OV VNY 10 NW/TM 1500/FL5000/TP B737/TB MODERATE,,MODERATE,ZLA,,50000,34.20972,-118.48917
2021-03-21 17:35:00+00:00,F,GLF4,BUR UA /OV BUR 15 NORTH/TM 1735/FL8000/TP GLF4/TB MODERATE,,MODERATE,ZLA,,80000,34.20067,-118.35867
2021-03-24 14:15:00+00:00,F,C182,BUR UA /OV 12 NE SMO/TM 1415/FL4500/TP C182/TB SEV TURB/RM GAINS AND LOSSES OF 20 KTS,,SEV TURB,ZLA,,45000,34.16243281137862,-118.2764390070324
2021-03-26 04:10:00+00:00,F,BE40,VNY UA /OV UMBER/TM 0410/FL7000/TP BE40/TA 01/IC LGT CLR,LGT CLR,,ZLA,,70000,34.20972,-118.48917
2021-03-31 17:41:00+00:00,F,GLF4,BUR UA /OV 7 NW VNY/TM 1741/FL7000/TP GLF4,,,ZLA,,70000,34.27664267121036,-118.604740966283
2021-04-18 15:15:00+00:00,F,PC12,BUR UA /OV BUR/TM 1515/FL7000/TP PC12/TB SEVERE,,SEVERE,ZLA,,70000,34.20067,-118.35867
2021-05-17 13:13:00+00:00,F,A321,LAX UA /OV 20 EAST LAX/TM 1313/FL5500/TP A321/SK SCT016 BKN027 OVC038/WX 10/TA 15/WV 240/08/RM TOPS 5500,,,ZLA,,55000,33.93816,-117.98471707025692
2021-06-19 13:15:00+00:00,F,E75L,LAX UA /OV LAX/TM 1315/FL900/TP E75L/SK OVC009,,,ZLA,,90000,33.93816,-118.38653
2021-06-20 15:24:00+00:00,F,B738,KLAX UA /OV KLAX/TM 1524/FL800/TP B738/SK OVC,,,ZLA,,80000,33.93816,-118.38653
2021-07-03 13:53:00+00:00,F,B737,KLAX UA /OV RY24R ARRIVAL 1 MILE FINAL/TM 1353/FL500/TP B737/SK OVC/WX TOPS 11 BASES 500,,,ZLA,,50000,33.93816,-118.38653
2021-08-21 17:05:00+00:00,F,B737,LAX UA /OV 15 MILES EAST LAX/TM 1705/FL4600/TP B737/SK BKN009 OVC012/WX 4SM BR/TA 19/WV 27005/RM TOPS 4600',,,ZLA,,46000,33.93816,-118.38653
2021-08-21 17:05:00+00:00,F,B737,LAX UA /OV 15 MILES EAST LAX/TM 1705/FL4600/TP B737/SK BKN009 OVC012/WX 4SM BR/TA 19/WV 27005/RM TOPS 4600,,,ZLA,,46000,33.93816,-118.38653
