report,turbulence
BUR UA /OV LAX060015/TM 1923/FL110/TP B737/TB CONS MOD CHOP DURC TO 110,CONS MOD CHOP DURC TO 110
BUR UA /OV BUR360005/TM 1947/FL100/TP BE20/TB MOD/RM DOWN DRAFTS,MOD
KLAX UA /OV 25 MILES EAST LAX/TM 2000/FL130/TP B737/RM MODERATE TURBULENCE FROM FL280 DOWN TO 140,
VNY UA /OV VNY24005/TM 2041/FL025/TP GLF5/TB LIGHT TURB,LIGHT TURB
SLI UA /OV KSLI/TM 2058/FL050/TP C700/RM MODERATE TURBULENCE,
VNY UA /OV VNY040010/TM 2105/FL080/TP B462/TB MOD-SEV,MOD-SEV
BUR UA /OV VNY330008/TM 2113/FL060/TP GLEX/TB SEV BLO 060,SEV BLO 060
KLAX UA /OV LAX070020/TM 2130/FL120/TP B738/TB MODERATE,MODERATE
KLAX UA /OV WAKER/TM 2135/FL120/TP B739/TB CONTINOUS LIGHT; OCCASSIONAL MODERATE 120-000,CONTINOUS LIGHT; OCCASSIONAL MODERATE 120-000
VNY UA /OV VNY/TM 2150/FL025/TP CL60/TB MOD,MOD
LAX UA /OV SXC325025/TM 2249/FL130/TP CRJ2/TB MOD 130-100/RM DURD SNA/LGB VIA TANDY,MOD 130-100
SMO UA /OV SMO020015/TM 2330/FL070/TP BE20/TB TB MOD,TB MOD
SNA UA /OV 10 NW SXC/TM 0022/FL100/TP B737/TB CNST MOD TURB/RM CONSTANT MODERATE TURBULENCE DESCENDING FOR SNA/LGB,CNST MOD TURB
SMO UA /OV SMO250002/TM 0101/FL026/TP AS50/TB NEGATIVE TB/RM NO TB OVER SMO PIER,NEGATIVE TB
BUR UA /OV BUR090010/TM 1510/FL080/TP C208/TB MOD,MOD
LAX UA /OV 15 EAST LAX/TM 1515/FL026/TP CRJ7/RM TOPS 090 HZ UNTIL 000,
VNY UA /OV VNY280005/TM 1547/FL050/TP B350/TB SEV SFC-060,SEV SFC-060
BUR UA /OV BUR270003/TM 1555/FL010/TP B737/TB MOD-SEV 010-100,MOD-SEV 010-100
BUR UA /OV BUR260003/TM 1605/FL010/TP B737/TB MOD 010-100,MOD 010-100
LAX UA /OV LAX/TM 1650/FL060/TP SLG/SK FU TOPS 060,
LAX UA /OV 50 MILES EAST LAX (SEAVU INTERSECTION)/TM 1830/FL100/TP A321/RM +30 WINDSHEAR OVER SEAVU LAX ARRIVAL,
LAX UA /OV LAX/TM 1838/FL105/TP MU20/TB MOD TURB,MOD TURB
VNY UA /OV PMD200020/TM 1855/FL080/TP C525/TB MOD/RM CONT MOD TURB 080 TO 050 ON JANNY ARRIVAL,MOD
BUR UUA /OV BUR100008/TM 1902/FL060/TP E55P/TB SEV/RM AIRCRAFT HAD TO DIVERT DUE TO SEVERE TURB,SEV
BUR UA /OV 8 MILES NE OF VNY/TM 2055/FL070/TP PA46/TB MODERATE TO SEVERE/RM SFC TO 070,MODERATE TO SEVERE
SMO UA /OV SMO03001/TM 2115/FL035/TP C172/TB LGT035,LGT035
LAX UA /OV LAX/TM 2120/FL016/TP B738/WX FV06SM FU HZ,
SMO UA /OV SMO03003/TM 2257/FL010/TP HELO/TB NEG012,NEG012
SMO UA /OV SMO /TM 2315 /FL200 /TP PC12 /TB MOD,MOD
AVX UA /OV SXC354008/TM 2321/FL080/TP E55P/SK OVC068-TOP07/WX FU,
